operation, x, y, z, xtype, ytype, ztype, xunit, yunit, zunit
CUDA Host Register, 1, 1228767, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.030000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.875793, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 722683, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 2591485, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 27.600769, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 583230, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 2231898, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.538000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 20.848755, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 3260883, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 9936159, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.031000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.851868, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 600124, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 2349363, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 27.812500, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 550799, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 2361579, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.165000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 5.811340, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1594370, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 3475361, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.030000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.788452, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 562350, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 2299270, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 27.706238, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 560326, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 2467695, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.052000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 1.513428, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1087999, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 1630384, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.030000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.314880, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 510966, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1923376, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.987000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 28.792786, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 594840, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 2994869, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.172000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 6.262146, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1590608, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 3403334, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.035000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.269653, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 523474, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1824051, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 27.005005, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 440472, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1619049, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.528000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 19.219116, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 2930600, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 10088350, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.044000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.343872, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 441956, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1667662, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.987000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 26.885864, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 371958, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1526497, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.503000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 18.664001, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 3010737, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 8803644, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.031000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 27.689514, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 378773, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1300745, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 26.818909, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 330754, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1417553, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.057000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 1.687866, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1100774, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 1688409, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.031000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.228455, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 382151, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1522494, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 26.564087, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 371626, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1347282, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.106000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 3.755127, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1110240, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 2262678, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.030000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.705444, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 424741, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1748872, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 28.333130, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 539932, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 2368800, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.555000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 20.108398, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 3013035, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 11231380, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.030000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.598694, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 395773, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1607933, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 27.358643, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 369960, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1564073, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.059000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 1.801208, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1141758, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 1742991, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.031000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.407104, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 447845, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1638763, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.987000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 27.184448, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 433562, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1773777, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.051000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 1.494873, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1099085, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 1610411, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.029000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.784546, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 449322, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1570310, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.989000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 27.668823, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 420832, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1593239, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.227000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 8.172302, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1633078, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 3808383, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.034000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 29.097778, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 527511, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1662560, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 27.674377, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 478714, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1802396, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.534000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 20.359314, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 3037668, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 8211515, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.030000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 28.960144, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 362883, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1655650, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.989000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 28.217529, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 347831, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1949706, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.534000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 20.227783, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 3075924, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 8329178, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.031000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 29.022766, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 346728, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1518225, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.987000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 27.544434, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 316634, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1353420, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.066000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 2.015747, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1160973, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 1765623, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.031000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 30.289185, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 528861, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 2357640, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 27.788696, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 345818, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1421687, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.053000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 1.540527, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1119108, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 1614697, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.030000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 29.097595, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 387035, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1573861, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.993000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 28.042480, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 385603, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1744103, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.049000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 38.790771, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 2986275, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 15844804, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.998000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 47.913330, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 4446660, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 27264553, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.026000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 32.863281, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 1694298, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 6560830, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 32.311462, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 1915651, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 7050914, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.029000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 36.060608, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 2617395, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 9448577, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.987000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 30.918579, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 1664144, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 6198148, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.028000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 32.554871, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 1737985, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 6588383, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.990000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 31.674744, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 1710383, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 6492351, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.029000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 32.736206, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 1583077, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 6256364, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.987000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 31.246338, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 1561966, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 6032153, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.029000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 30.914978, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 1094829, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 2828036, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.986000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 29.453491, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 1025116, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 3029539, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.141000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 30.444397, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 1039365, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 2874484, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.987000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 29.989319, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 964458, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 3029699, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.029000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 30.398865, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 998527, ch, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 2570772, ch, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.986000, ch, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 29.051453, ch, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 915925, ch, N, L3 Cache Misses, Memory Allocator, , , 
